,Time,Action
68,02:41:00.3,&=vfx
69,02:41:00.4,&=vfx
70,02:41:00.5,&=vfx
71,02:41:00.6,&=vfx
72,02:41:00.7,&=vfx
73,02:41:00.8,&=vfx
74,06:30:36.4,&=vfx
75,06:30:36.5,&=vfx
76,06:30:36.6,&=vfx
77,06:30:36.7,&=vfx
78,06:30:36.8,&=vfx
79,06:30:36.9,&=vfx
80,06:30:37.0,&=vfx
81,07:54:09.3,&=vfx
82,07:54:09.4,&=vfx
83,07:54:09.5,&=vfx
84,07:54:09.6,&=vfx
85,07:54:09.7,&=vfx
86,07:59:14.6,&=vfx
87,07:59:14.7,&=vfx
88,07:59:14.8,&=vfx
89,07:59:14.9,&=vfx
90,07:59:15.0,&=vfx
91,07:59:15.1,&=vfx
92,07:59:15.2,&=vfx
93,07:59:15.3,&=vfx
94,07:59:15.4,&=vfx
95,07:59:15.5,&=vfx
96,07:59:58.8,&=crying
97,07:59:58.9,&=crying
98,07:59:59.0,&=crying
99,07:59:59.1,&=crying
100,08:24:50.8,&=vfx
101,08:43:40.3,&=vocalization
102,08:43:40.4,&=vocalization
103,08:43:40.5,&=vocalization
104,08:43:40.6,&=vocalization
105,08:43:40.7,&=vocalization
106,08:55:51.7,&=vfx
107,08:55:51.8,&=vfx
108,08:55:51.9,&=vfx
109,09:16:46.9,&=vocalization
110,09:16:47.0,&=vocalization
111,09:23:00.1,&=vfx
112,09:23:00.2,&=vfx
113,09:27:10.2,&=vocalization
114,09:27:10.3,&=vocalization
115,09:27:10.4,&=vocalization
116,09:28:32.5,&=vocalization
117,09:46:29.6,&=vfx
118,09:46:29.7,&=vfx
119,09:46:29.8,&=vfx
120,09:46:29.9,&=vfx
121,09:46:30.0,&=vfx
122,09:46:30.1,&=vfx
123,09:46:30.2,&=vfx
124,09:46:30.3,&=vfx
125,10:18:28.9,&=vfx
126,10:18:29.0,&=vfx
127,10:28:26.4,&=vfx
128,10:28:26.5,&=vfx
129,10:28:26.6,&=vfx
130,10:28:26.7,&=vfx
131,10:36:12.6,&=crying
132,10:36:12.7,&=crying
133,11:36:35.2,&=vocalization
134,11:36:35.3,&=vocalization
135,11:36:35.4,&=vocalization
136,11:43:28.5,&=vfx
137,12:06:41.3,&=vocalization
138,12:06:41.4,&=vocalization
139,13:17:00.8,&=vfx
140,13:17:00.9,&=vfx
141,13:17:01.0,&=vfx
142,13:17:01.1,&=vfx
143,13:26:57.5,&=vfx
144,13:26:57.6,&=vfx
145,13:26:57.7,&=vfx
146,13:26:57.8,&=vfx
147,13:26:57.9,&=vfx
148,13:26:58.0,&=vfx
149,13:26:58.1,&=vfx
150,13:26:58.2,&=vfx
151,13:26:58.3,&=vfx
152,13:26:58.4,&=vfx
153,13:26:58.5,&=vfx
154,13:26:58.6,&=vfx
155,13:26:58.7,&=vfx
156,13:26:58.8,&=vfx
157,13:44:37.4,&=vocalization
158,13:44:37.5,&=vocalization
159,13:44:37.6,&=vocalization
160,13:44:37.7,&=vocalization
161,13:44:37.8,&=vocalization
162,14:01:10.3,&=vocalization
163,14:01:11.0,&=vocalization
164,14:03:43.5,&=vfx
165,14:03:43.6,&=vfx
166,14:03:43.7,&=vfx
167,14:03:43.8,&=vfx
168,14:03:43.9,&=vfx
169,14:03:44.0,&=vfx
170,14:14:10.3,&=vfx
171,14:14:10.4,&=vfx
172,14:14:10.5,&=vfx
173,14:14:10.6,&=vfx
174,14:14:10.7,&=vfx
175,14:14:10.8,&=vfx
176,14:18:10.0,&=vfx
177,14:18:48.8,&=vocalization
178,14:18:49.2,&=vocalization
179,14:18:49.3,&=vocalization
180,14:25:36.8,&=vocalization
181,14:25:49.2,&=crying
182,14:28:20.8,&=vfx
183,14:28:20.9,&=vfx
184,14:33:02.7,&=crying
185,14:47:49.8,&=vfx
186,14:47:49.9,&=vfx
187,14:47:50.0,&=vfx
188,14:47:50.1,&=vfx
189,14:47:50.2,&=vfx
190,15:00:30.2,&=crying
191,15:00:30.3,&=crying
192,15:00:30.4,&=crying
193,15:12:39.7,&=vocalization
194,15:12:39.8,&=vocalization
195,15:12:39.9,&=vocalization
196,15:16:47.4,&=vocalization
197,15:16:47.5,&=vocalization
198,15:16:47.6,&=vocalization
199,15:16:47.7,&=vocalization
200,15:16:47.8,&=vocalization
201,15:16:47.9,&=vocalization
202,15:19:46.2,&=vocalization
203,15:19:46.3,&=vocalization
204,15:19:46.4,&=vocalization
205,15:19:46.5,&=vocalization
206,15:19:46.6,&=vocalization
207,15:19:46.7,&=vocalization
208,15:20:25.6,&=vfx
209,15:20:25.7,&=vfx
210,15:20:25.8,&=vfx
211,15:20:25.9,&=vfx
212,15:20:26.0,&=vfx
213,15:20:26.1,&=vfx
